"season","player_short_name","avg_time_to_throw","total_pass_touchdowns"
2023,"A.Dalton",2.49910344827586,2
2023,"A.O'Connell",2.79586955472931,12
2023,"A.Richardson",2.78650918918919,2
2023,"B.Gabbert",2.31926666666667,0
2023,"B.Hoyer",2.3856875,0
2023,"B.Mayfield",2.69371177824815,28
2023,"B.Purdy",2.87524638830385,31
2023,"B.Rypien",2.90839285714286,0
2023,"B.Young",2.89378499516454,11
2023,"B.Zappe",2.76903537358865,6
2023,"C.Beathard",2.59475416666667,1
2023,"C.Keenum",2.7674158496732,1
2023,"C.Stroud",3.01047548588657,23
2023,"C.Tune",2.7429,0
2023,"C.Wentz",2.26266666666667,2
2023,"D.Carr",2.70243195858859,25
2023,"D.Jones",2.71637900579151,2
2023,"D.Lock",2.59856158357771,2
2023,"D.Mills",2.68934375,2
2023,"D.Prescott",2.71830497224724,36
2023,"D.Ridder",2.73430041651299,12
2023,"D.Thompson-Robinson",2.81717601937514,1
2023,"D.Watson",3.04065145855103,7
2023,"E.Stick",2.83224789826292,3
2023,"G.Minshew",2.74258905569753,15
2023,"G.Smith",2.83047339619719,20
2023,"J.Allen",2.86136245997278,29
2023,"J.Browning",2.71367520293909,12
2023,"J.Burrow",2.52901202266087,15
2023,"J.Dobbs",2.94768333855639,13
2023,"J.Driskel",2.70142307692308,2
2023,"J.Fields",3.24061868167041,16
2023,"J.Flacco",3.0006622802408,13
2023,"J.Garoppolo",2.95853975310404,7
2023,"J.Goff",2.72007781342729,30
2023,"J.Herbert",2.8435016536933,20
2023,"J.Hurts",2.98794732989974,23
2023,"J.Love",2.79159169697906,32
2023,"J.Stidham",2.83850551470588,1
2023,"J.Winston",2.47698375,2
2023,"K.Cousins",2.86350287995592,18
2023,"K.Murray",2.78404695566346,10
2023,"K.Pickett",2.81197344797636,6
2023,"L.Jackson",2.98898197986573,24
2023,"M.Jones",2.48023750338635,10
2023,"M.Mariota",2.7415,1
2023,"M.Rudolph",2.70472419590643,2
2023,"M.Stafford",2.69354340978551,24
2023,"M.Trubisky",2.84369199221495,1
2023,"N.Mullens",3.10497596784168,7
2023,"P.Mahomes",2.94347970889158,27
2023,"P.Walker",2.97047564832385,1
2023,"R.Tannehill",2.66679619820195,4
2023,"R.Wilson",3.04426240932284,26
2023,"S.Darnold",3.0804,1
2023,"S.Howell",2.84402561102089,21
2023,"T.Bagent",2.94399060260647,3
2023,"T.Boyle",2.61219684210526,1
2023,"T.DeVito",3.0253677408721,8
2023,"T.Heinicke",2.89459200285408,5
2023,"T.Huntley",3.32235714285714,1
2023,"T.Lawrence",2.51132927439936,21
2023,"T.Siemian",2.52239214177979,2
2023,"T.Tagovailoa",2.37301879284859,29
2023,"T.Taylor",2.85957891251328,5
2023,"W.Levis",2.84646899674883,8
2023,"Z.Wilson",2.90725466116202,8
