"season","qb","dropbacks","effective","decision_rate","mean_epa","avg_time_to_throw","sacks","total_pass_touchdowns","interceptions","fumbles_lost","turnovers","turnover_rate"
2022,"P.Mahomes",780,411,0.526923076923077,0.262115819120326,2.8918033372832,29,41,12,5,17,0.0217948717948718
2022,"D.Prescott",486,244,0.502057613168724,0.111965190022967,2.72219766036384,22,23,17,1,18,0.037037037037037
2022,"J.Garoppolo",326,161,0.493865030674847,0.189250791217397,2.63861612359016,18,16,4,4,8,0.0245398773006135
2022,"T.Tagovailoa",421,204,0.484560570071259,0.213902671276022,2.60477773904458,21,25,8,2,10,0.0237529691211401
2022,"T.Lawrence",704,340,0.482954545454545,0.10372134694323,2.5597237336679,31,25,13,7,20,0.0284090909090909
2022,"J.Allen",689,331,0.480406386066763,0.109947602301714,2.91591113939745,41,35,17,6,23,0.0333817126269956
2022,"J.Burrow",770,369,0.479220779220779,0.123971550176265,2.54360480491403,51,35,14,6,20,0.025974025974026
2022,"G.Smith",658,314,0.477203647416413,0.0078484903321882,2.81728528783922,49,30,12,7,19,0.0288753799392097
2022,"J.Goff",610,291,0.477049180327869,0.158461293226851,2.74590475349934,23,29,7,4,11,0.0180327868852459
2022,"A.Dalton",404,192,0.475247524752475,0.0180227000501177,2.62707166803538,25,18,9,4,13,0.0321782178217822
2022,"K.Cousins",729,338,0.463648834019204,0.0443376968998745,2.84120454124526,46,29,14,4,18,0.0246913580246914
2022,"M.Stafford",332,153,0.460843373493976,-0.0877962130002594,2.71923067587342,29,10,8,4,12,0.036144578313253
2022,"T.Brady",828,380,0.458937198067633,0.0466488711117646,2.45070449912186,24,25,10,7,17,0.0205314009661836
2022,"R.Tannehill",358,159,0.444134078212291,0.0444079409012261,2.75172331165433,33,13,6,2,8,0.0223463687150838
2022,"D.Jones",584,259,0.443493150684932,0.00704795782856534,2.87599720823007,52,15,6,5,11,0.0188356164383562
2022,"J.Hurts",590,261,0.442372881355932,0.0927579318423616,2.75902691188018,42,22,6,8,14,0.023728813559322
2022,"M.Mariota",326,144,0.441717791411043,-0.0206033688612956,2.97216957791458,28,15,9,3,12,0.0368098159509202
2022,"J.Brissett",391,172,0.439897698209719,0.0353653716537494,2.89665719159987,24,12,6,5,11,0.0281329923273657
2022,"J.Herbert",782,344,0.439897698209719,0.0207278967042456,2.85573751173377,41,25,10,6,16,0.020460358056266
2022,"L.Jackson",352,153,0.434659090909091,0.0135602595417021,3.0151020514305,26,17,7,2,9,0.0255681818181818
2022,"M.Ryan",502,215,0.428286852589641,-0.0912213299136462,2.68519021339979,38,14,13,6,19,0.0378486055776892
2022,"A.Rodgers",575,246,0.427826086956522,-0.0318172938891679,2.70107090994494,32,26,12,5,17,0.0295652173913043
2022,"K.Pickett",417,175,0.419664268585132,-0.0208930227201543,2.99728055991945,27,7,9,1,10,0.0239808153477218
2022,"D.Carr",532,216,0.406015037593985,0.0240181972854442,2.94415710657489,27,24,14,2,16,0.0300751879699248
2022,"K.Murray",418,169,0.404306220095694,-0.0406770140598669,2.67157781235595,25,14,7,0,7,0.0167464114832536
2022,"M.Jones",478,186,0.389121338912134,-0.0885551432170994,2.68836165399789,34,14,11,4,15,0.0313807531380753
2022,"C.Wentz",309,115,0.372168284789644,-0.129196285241903,2.55020878490779,26,11,9,1,10,0.0323624595469256
2022,"D.Mills",511,189,0.36986301369863,-0.14512789453132,2.77373761879492,31,17,15,2,17,0.0332681017612524
2022,"J.Fields",377,134,0.355437665782493,-0.223027379083336,3.13932899282046,55,17,11,6,17,0.0450928381962865
2022,"R.Wilson",538,190,0.353159851301115,-0.105689868477854,2.97906332392235,55,16,11,2,13,0.0241635687732342
2022,"B.Mayfield",371,129,0.347708894878706,-0.155750325124963,2.8415246332729,36,10,8,3,11,0.0296495956873315
