"season","qb","dropbacks","effective","decision_rate","mean_epa","avg_time_to_throw","sacks","total_pass_touchdowns","interceptions","fumbles_lost","turnovers","turnover_rate"
2021,"P.Mahomes",818,423,0.517114914425428,0.197098925785248,2.84165120115249,37,37,16,4,20,0.0244498777506112
2021,"M.Stafford",780,388,0.497435897435897,0.206072484385861,2.78791687482225,37,41,20,3,23,0.0294871794871795
2021,"D.Prescott",678,326,0.480825958702065,0.141819763348486,2.75750599283346,35,37,11,3,14,0.0206489675516224
2021,"T.Tagovailoa",409,196,0.47921760391198,0.0516895752745388,2.5159820155357,20,16,10,1,11,0.0268948655256724
2021,"J.Allen",696,333,0.478448275862069,0.142598312517315,2.92007856587502,28,36,15,2,17,0.0244252873563218
2021,"J.Herbert",709,339,0.478138222849083,0.149472112535137,2.82055956334503,31,38,15,4,19,0.0267983074753173
2021,"L.Jackson",421,195,0.463182897862233,0.0288011649777389,2.97270375161045,38,16,13,2,15,0.0356294536817102
2021,"J.Burrow",732,337,0.460382513661202,0.12224844426606,2.67490089207468,70,34,16,4,20,0.0273224043715847
2021,"K.Cousins",587,263,0.448040885860307,0.107009519427426,2.77924513307868,28,33,7,3,10,0.0170357751277683
2021,"J.Goff",529,230,0.434782608695652,-0.0629625286120401,2.75824153702186,35,19,8,5,13,0.0245746691871456
2021,"T.Lawrence",636,270,0.424528301886792,-0.11070085050748,2.86476112791706,32,12,17,7,24,0.0377358490566038
2021,"B.Mayfield",462,196,0.424242424242424,-0.0327108226134641,2.81579124644424,43,17,13,5,18,0.038961038961039
2021,"R.Wilson",435,184,0.422988505747126,0.0142273461124034,2.78009615295842,33,25,6,4,10,0.0229885057471264
2021,"J.Hurts",505,208,0.411881188118812,0.0149617324142322,3.11771597228247,28,16,11,2,13,0.0257425742574257
2022,"P.Mahomes",780,411,0.526923076923077,0.262115819120326,2.8918033372832,29,41,12,5,17,0.0217948717948718
2022,"D.Prescott",486,244,0.502057613168724,0.111965190022967,2.72219766036384,22,23,17,1,18,0.037037037037037
2022,"T.Tagovailoa",421,204,0.484560570071259,0.213902671276022,2.60477773904458,21,25,8,2,10,0.0237529691211401
