"season","qb","dropbacks","effective","decision_rate","mean_epa","avg_time_to_throw","sacks","total_pass_touchdowns","interceptions","fumbles_lost","turnovers","turnover_rate"
2023,"B.Purdy",580,300,0.517241379310345,0.274435571524496,2.87524638830385,32,31,12,3,15,0.0258620689655172
2023,"D.Prescott",695,340,0.489208633093525,0.154884599749091,2.71830497224724,43,36,11,3,14,0.0201438848920863
2023,"J.Goff",754,368,0.488063660477454,0.128744931243951,2.72007781342729,37,30,12,5,17,0.0225464190981432
2023,"J.Allen",675,325,0.481481481481481,0.122985320093632,2.86136245997278,26,29,18,5,23,0.0340740740740741
2023,"T.Tagovailoa",630,301,0.477777777777778,0.15052568390053,2.37301879284859,31,29,15,3,18,0.0285714285714286
2023,"L.Jackson",560,261,0.466071428571429,0.0670453147193054,2.98898197986573,44,24,8,9,17,0.0303571428571429
2023,"G.Smith",528,246,0.465909090909091,0.0637961020987381,2.83047339619719,31,20,9,2,11,0.0208333333333333
2023,"J.Love",665,306,0.46015037593985,0.160159487472183,2.79159169697906,30,32,13,2,15,0.0225563909774436
2023,"J.Burrow",388,178,0.458762886597938,0.00258497495408809,2.52901202266087,24,15,6,2,8,0.0206185567010309
2023,"P.Mahomes",776,356,0.458762886597938,0.0693405996142478,2.94347970889158,32,27,15,9,24,0.0309278350515464
2023,"M.Stafford",589,268,0.455008488964346,0.108764014191996,2.69354340978551,32,24,11,2,13,0.0220713073005093
2023,"T.Lawrence",602,271,0.450166112956811,-0.036320604345671,2.51132927439936,35,21,14,11,25,0.0415282392026578
2023,"C.Stroud",588,264,0.448979591836735,0.107955952809747,3.01047548588657,38,23,5,6,10,0.0170068027210884
2023,"D.Carr",581,259,0.44578313253012,0.0482358989907428,2.70243195858859,31,25,8,2,10,0.0172117039586919
2023,"D.Ridder",420,187,0.445238095238095,-0.0919567394188416,2.73430041651299,31,12,12,5,17,0.0404761904761905
2023,"J.Herbert",486,215,0.44238683127572,0.0227286404786214,2.8435016536933,29,20,7,5,12,0.0246913580246914
2023,"J.Hurts",613,271,0.442088091353997,0.0619836738796634,2.98794732989974,39,23,15,5,20,0.032626427406199
2023,"K.Cousins",326,144,0.441717791411043,0.0592480005472105,2.86350287995592,17,18,5,6,11,0.0337423312883436
2023,"B.Mayfield",695,302,0.434532374100719,0.0763159529931816,2.69371177824815,48,28,12,7,19,0.0273381294964029
2023,"M.Jones",368,152,0.41304347826087,-0.186469037633218,2.48023750338635,22,10,12,4,16,0.0434782608695652
2023,"G.Minshew",527,217,0.411764705882353,-0.0125098796084504,2.74258905569753,34,15,9,5,14,0.0265654648956357
2023,"A.O'Connell",367,151,0.411444141689373,-0.0603191633525161,2.79586955472931,24,12,7,4,11,0.0299727520435967
2023,"R.Wilson",491,200,0.407331975560081,-0.0749744675900377,3.04426240932284,45,26,8,9,17,0.0346232179226069
2023,"S.Howell",679,270,0.397643593519882,-0.175949913978225,2.84402561102089,65,21,21,4,25,0.0368188512518409
2023,"J.Dobbs",450,175,0.388888888888889,-0.181312571490551,2.94768333855639,30,13,10,5,15,0.0333333333333333
2023,"K.Pickett",347,133,0.38328530259366,-0.13406576860295,2.81197344797636,23,6,4,1,5,0.0144092219020173
2023,"J.Fields",416,157,0.377403846153846,-0.110350754050086,3.24061868167041,44,16,9,5,14,0.0336538461538462
2023,"Z.Wilson",413,151,0.365617433414044,-0.257955029297446,2.90725466116202,46,8,7,5,12,0.0290556900726392
2023,"B.Young",589,203,0.3446519524618,-0.280491679978336,2.89378499516454,62,11,10,7,17,0.0288624787775891
